,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
MYOC,0.7068,0.2932,0.8798927504749072,1.7066895e-05,3.5955076e-05,0.007928642,0.00862069,0.007928642220019821,0.00646551724137932,0.23154467,0.3756274,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
COL25A1,0.7064,0.29359999999999997,0.8779633326457303,0.00018547736,0.0002787871,0.063429125,0.042649694,0.05252725470763132,0.026372504537205195,2.321676,2.4071546,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LINC01592,0.706,0.29400000000000004,0.8760354503052614,2.267203e-05,3.539575e-05,0.005946482,0.0065789474,0.005946481665014866,0.003686479128856621,0.2225102,0.31737983,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PLIN1,0.7054,0.2946,0.873146494005445,2.5554416e-05,6.618375e-05,0.013875123,0.026826242,0.01288404360753221,0.01043557168784032,0.27132288,0.62579983,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PLCXD3,0.7044,0.2956,0.868339167914985,0.0058970787,0.004123788,2.0426214,1.5268153,0.64519326065412,0.31669691470056127,55.206566,43.340973,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
GPD1,0.7042,0.29579999999999995,0.8673788368381385,3.295198e-05,4.219345e-05,0.014866202,0.021324879,0.014866204162537165,0.011910163339382978,0.29836217,0.49889073,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
KCNE1,0.7032,0.29679999999999995,0.8625828156057256,7.514086e-05,0.000105170075,0.034687802,0.036978204,0.030723488602576808,0.021948729582577223,0.877724,1.1036273,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
FLNC-AS1,0.7018,0.2982,0.8558840415330105,0.0006559355,0.0003036911,0.38354805,0.122163646,0.09514370664023764,0.04905852994555268,5.2453136,2.6620033,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
FNIP2,0.701,0.29900000000000004,0.8520642944644232,0.0021742124,0.0015248759,0.85332274,0.5472428,0.4291377601585753,0.2577699637023506,23.359497,16.012796,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ALOX5,0.7,0.30000000000000004,0.847297841339585,6.9036185e-05,0.00021225748,0.025768083,0.045031693,0.02576808721506442,0.028300816696914824,0.59143364,1.9664654,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AC104134.1,0.6992,0.30079999999999996,0.8434912133230204,3.1444182e-05,1.9498184e-05,0.009910802,0.005614795,0.009910802775024777,0.004990925589836662,0.22029158,0.2274312,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PTPRZ1,0.6992,0.30079999999999996,0.8434912133230204,1.6677597e-05,2.9202589e-05,0.007928642,0.008847551,0.007928642220019821,0.006125226860254091,0.205189,0.4424957,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
KLRF1,0.699,0.30100000000000005,0.842540458568495,3.2408974e-05,5.9613478e-05,0.011892962,0.02075771,0.011892963330029732,0.011456442831216006,0.4688684,0.5916823,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AFF2,0.6988,0.3012,0.8415900634438784,9.3305156e-05,0.00010304547,0.025768083,0.015710058,0.024777006937561942,0.01162658802177862,0.7966551,0.8022034,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AL139260.1,0.6986,0.3014,0.8406400273161798,0.0006436506,0.0004122775,0.3211097,0.12891184,0.21704658077304154,0.09448729582576793,7.7093883,4.8604636,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
SGPP2,0.697,0.30300000000000005,0.8330525865950569,0.00014530001,0.00013553855,0.04658076,0.049625557,0.04261645193260654,0.03743194192377475,1.6243743,1.3990743,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
IL1B,0.697,0.30300000000000005,0.8330525865950569,2.7883493e-06,2.6152713e-05,0.0019821606,0.031817153,0.0019821605550049554,0.006975952813067163,0.022799883,0.3414424,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PRKAR2B,0.6968,0.3032,0.8321057531398668,0.00021164959,0.00019052564,0.088206194,0.0696457,0.07730426164519316,0.047016787658801434,2.468858,2.026089,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LINC02506,0.696,0.30400000000000005,0.8283219404012775,0.00017303128,0.00020189738,0.07135778,0.07588462,0.030723488602576808,0.028414246823956567,1.9830902,2.002151,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
IL1R2,0.696,0.30400000000000005,0.8283219404012775,1.3469779e-05,4.8620248e-05,0.007928642,0.023083033,0.007928642220019821,0.008110254083484592,0.21857382,0.43997788,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
