,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
NWD2,0.9998,0.00019999999999997797,8.516943182665639,0.0020205448,2.1471868e-05,1.1655174,0.0047577852,0.32413793103448313,0.004595588235294115,17.821243,0.22694117,Adipocytes vs Rest,Adipocytes,Rest
ARHGAP20,0.9998,0.00019999999999997797,8.516943182665639,0.0022224914,4.120414e-05,1.1172413,0.008650519,0.4758620689655179,0.007893598615916951,20.217762,0.3779799,Adipocytes vs Rest,Adipocytes,Rest
GYG2,0.9998,0.00019999999999997797,8.516943182665639,0.0017313662,1.0425874e-05,1.3862066,0.002649222,0.462068965517242,0.002595155709342559,22.76719,0.11007324,Adipocytes vs Rest,Adipocytes,Rest
FASN,0.9996,0.00039999999999995595,7.823620941151559,0.01175618,8.7025524e-05,7.0620675,0.02508645,0.8413793103448289,0.022166955017301253,129.07437,1.0846257,Adipocytes vs Rest,Adipocytes,Rest
DGAT2,0.9994,0.0006000000000000449,7.417964066154244,0.0037520356,1.6426953e-05,2.6827574,0.005028114,0.5931034482758629,0.004865916955017298,43.613537,0.19409624,Adipocytes vs Rest,Adipocytes,Rest
LINC00598,0.9994,0.0006000000000000449,7.417964066154244,0.008362605,0.00014017697,6.517239,0.03714303,0.7172413793103459,0.02827638408304529,88.671844,1.560664,Adipocytes vs Rest,Adipocytes,Rest
GPAM,0.9994,0.0006000000000000449,7.417964066154244,0.026442472,0.00014317124,17.372416,0.03579139,0.8965517241379325,0.031520328719723524,280.34048,1.5659052,Adipocytes vs Rest,Adipocytes,Rest
PLIN1,0.9988,0.0011999999999999789,6.724224678325084,0.0055044405,2.1240492e-05,2.7999985,0.0043793265,0.8068965517241392,0.004325259515570932,52.92176,0.19648609,Adipocytes vs Rest,Adipocytes,Rest
GPD1,0.9988,0.0011999999999999789,6.724224678325084,0.003226065,2.1936079e-05,1.7586198,0.007352935,0.6206896551724147,0.007298875432525947,30.20379,0.255079,Adipocytes vs Rest,Adipocytes,Rest
ADIPOQ,0.9988,0.0011999999999999789,6.724224678325084,0.0037080687,1.9709307e-05,2.324136,0.0036224066,0.5931034482758629,0.003352076124567472,33.361748,0.2177632,Adipocytes vs Rest,Adipocytes,Rest
MLXIPL,0.9988,0.0011999999999999789,6.724224678325084,0.005262528,4.230105e-05,2.9862058,0.013083932,0.7724137931034495,0.011732266435986214,51.871323,0.46125242,Adipocytes vs Rest,Adipocytes,Rest
AL356479.1,0.9984,0.0016000000000000458,6.4361441284049565,0.0017856419,1.0652489e-05,0.73793113,0.0021626295,0.32413793103448313,0.0021085640138408294,14.77842,0.090952694,Adipocytes vs Rest,Adipocytes,Rest
CIDEC,0.9984,0.0016000000000000458,6.4361441284049565,0.0023400355,7.3853193e-06,1.1379308,0.001405709,0.5103448275862076,0.001405709342560553,21.80977,0.0575642,Adipocytes vs Rest,Adipocytes,Rest
LGALS12,0.9982,0.0018000000000000238,6.318161446611285,0.0015343643,5.4013976e-06,0.68965536,0.0009731832,0.3517241379310349,0.0009731833910034599,10.6674595,0.059477255,Adipocytes vs Rest,Adipocytes,Rest
SLC7A10,0.998,0.0020000000000000018,6.212601105784058,0.00073560665,1.9680422e-06,0.40000007,0.00059472315,0.17241379310344834,0.0005947231833910035,6.085666,0.01976179,Adipocytes vs Rest,Adipocytes,Rest
PNPLA3,0.998,0.0020000000000000018,6.212601105784058,0.00422595,1.4091511e-05,2.0206888,0.0028114195,0.5379310344827594,0.002757352941176469,28.45816,0.12794733,Adipocytes vs Rest,Adipocytes,Rest
SCD,0.9978,0.0021999999999999797,6.11709095964051,0.010853131,7.019695e-05,5.2068954,0.014165248,0.5931034482758629,0.012489186851211139,94.64934,0.7469498,Adipocytes vs Rest,Adipocytes,Rest
PTPRF,0.9978,0.0021999999999999797,6.11709095964051,0.0027087128,3.6808546e-05,1.4689646,0.01129975,0.6000000000000009,0.010650951557093464,26.615402,0.43812943,Adipocytes vs Rest,Adipocytes,Rest
HK2,0.9978,0.0021999999999999797,6.11709095964051,0.002509623,6.677776e-05,1.1172413,0.023788901,0.4551724137931041,0.01984212802768184,19.38953,0.76376814,Adipocytes vs Rest,Adipocytes,Rest
SLC19A3,0.9976,0.0023999999999999577,6.029879500378016,0.0048314976,2.2532393e-05,2.9103432,0.0046496545,0.5724137931034491,0.004325259515570932,51.325165,0.26808465,Adipocytes vs Rest,Adipocytes,Rest
LPIN1,0.9972,0.0028000000000000247,5.875328373074121,0.0063132145,0.0004512378,4.5793085,0.13478753,0.6965517241379321,0.11024005190311069,60.695244,4.828512,Adipocytes vs Rest,Adipocytes,Rest
PNPLA2,0.9972,0.0028000000000000247,5.875328373074121,0.0039621005,0.00027441356,2.7655156,0.09348065,0.7931034482758633,0.0829368512110705,54.444145,2.7882435,Adipocytes vs Rest,Adipocytes,Rest
LVRN,0.997,0.0030000000000000027,5.8061351579960405,0.0014942689,1.860741e-05,0.74482775,0.0039468003,0.3931034482758626,0.003352076124567472,12.797358,0.17804617,Adipocytes vs Rest,Adipocytes,Rest
THRSP,0.9966,0.0033999999999999586,5.680571123087171,0.0058318498,1.5872516e-05,2.3724127,0.0034602094,0.44827586206896614,0.003352076124567472,44.150517,0.16544953,Adipocytes vs Rest,Adipocytes,Rest
ANGPTL8,0.9958,0.0041999999999999815,5.468459538011395,0.0012463429,1.4386731e-05,0.6275863,0.0020544978,0.213793103448276,0.0020544982698961927,11.476496,0.13922702,Adipocytes vs Rest,Adipocytes,Rest
ACACA,0.9956,0.0043999999999999595,5.421738766888735,0.010382014,0.0009276492,6.165514,0.2170186,0.7172413793103459,0.15927768166090256,102.32981,9.247319,Adipocytes vs Rest,Adipocytes,Rest
ACLY,0.9956,0.0043999999999999595,5.421738766888735,0.0050839284,0.00022572996,3.3172402,0.06152639,0.5103448275862076,0.05655276816608908,61.996243,2.4398189,Adipocytes vs Rest,Adipocytes,Rest
MARC1,0.9952,0.0048000000000000265,5.334325730788133,0.002925814,9.541451e-05,1.944827,0.028330386,0.6413793103448285,0.025573096885813416,32.383812,1.0458474,Adipocytes vs Rest,Adipocytes,Rest
LEP,0.9952,0.0048000000000000265,5.334325730788133,0.0004995217,5.357376e-06,0.32413802,0.0011894462,0.15862068965517245,0.0010813148788927332,4.44643,0.056819525,Adipocytes vs Rest,Adipocytes,Rest
LIPE-AS1,0.9948,0.005199999999999982,5.253881173319069,0.0073329904,0.0003395369,4.586205,0.08493777,0.827586206896553,0.07152897923875272,74.30132,4.0403614,Adipocytes vs Rest,Adipocytes,Rest
PLXNA4,0.9946,0.00539999999999996,5.215939850914573,0.0062355986,0.0005264442,3.9379282,0.16452238,0.7862068965517254,0.11640354671279897,64.67946,5.5852666,Adipocytes vs Rest,Adipocytes,Rest
AACS,0.9944,0.005600000000000049,5.179371166799013,0.0029474956,0.00012289782,1.9517232,0.036115773,0.4896551724137938,0.033142301038062545,29.041363,1.495935,Adipocytes vs Rest,Adipocytes,Rest
SAA1,0.9942,0.005800000000000027,5.144078762030087,0.006680233,3.8048045e-05,3.2344825,0.0074610687,0.3517241379310349,0.006487889273356398,72.40115,0.34503388,Adipocytes vs Rest,Adipocytes,Rest
AP003031.2,0.9942,0.005800000000000027,5.144078762030087,0.00019199558,4.205837e-06,0.09655173,0.0010813146,0.07586206896551724,0.0010813148788927332,1.2793922,0.033513725,Adipocytes vs Rest,Adipocytes,Rest
ACSL1,0.9942,0.005800000000000027,5.144078762030087,0.012528155,0.00075377146,7.1999974,0.23226501,0.8896551724137945,0.1466803633217996,113.05354,7.059413,Adipocytes vs Rest,Adipocytes,Rest
PTGER3,0.9934,0.00660000000000005,5.014062248556934,0.002292867,6.173188e-05,1.1655172,0.011894475,0.42068965517241436,0.009894031141868539,18.246443,0.74891526,Adipocytes vs Rest,Adipocytes,Rest
GDPD5,0.993,0.007000000000000006,4.954819096489944,0.0009094009,4.373748e-05,0.62758636,0.008866781,0.3172413793103452,0.008704584775086514,9.744407,0.4589509,Adipocytes vs Rest,Adipocytes,Rest
AC022414.1,0.9924,0.007600000000000051,4.871976698813327,0.0009654986,2.2714481e-05,0.6413794,0.006163493,0.29655172413793135,0.005785034602076121,8.704144,0.22018507,Adipocytes vs Rest,Adipocytes,Rest
PDE3B,0.9912,0.00880000000000003,4.724163482556559,0.01703948,0.0007929639,8.97931,0.22518271,0.8620689655172428,0.1351643598615896,150.77702,8.87516,Adipocytes vs Rest,Adipocytes,Rest
NNAT,0.9908,0.009199999999999986,4.679308136697134,0.00019383189,1.1424037e-05,0.117241375,0.0028114195,0.05517241379310345,0.0027032871972318324,1.6428416,0.103578314,Adipocytes vs Rest,Adipocytes,Rest
ACSS2,0.9908,0.009199999999999986,4.679308136697134,0.010826686,0.0006054057,6.110341,0.1931224,0.7586206896551736,0.14143598615916875,102.84516,6.3347635,Adipocytes vs Rest,Adipocytes,Rest
PRKAR2B,0.9906,0.009399999999999964,4.6576000771438535,0.006011872,0.00015350615,2.8482742,0.048875146,0.710344827586208,0.043468858131487646,51.475975,1.6625783,Adipocytes vs Rest,Adipocytes,Rest
DUSP4,0.99,0.010000000000000009,4.5951188602360995,0.0011422859,3.0497209e-05,0.61379325,0.011624147,0.2758620689655175,0.008055795847750864,8.859755,0.2660596,Adipocytes vs Rest,Adipocytes,Rest
MME,0.9898,0.010199999999999987,4.575114211938937,0.0027024348,0.0001028931,1.9793094,0.022383183,0.5310344827586214,0.02049091695501749,34.0319,1.3450431,Adipocytes vs Rest,Adipocytes,Rest
TENM3,0.9898,0.010199999999999987,4.575114211938937,0.0063847397,0.00039040323,3.73793,0.10915964,0.6965517241379321,0.07352941176470418,58.88056,3.8300087,Adipocytes vs Rest,Adipocytes,Rest
AGPAT2,0.9896,0.010399999999999965,4.555494063498048,0.0031296823,0.00019527356,2.0965505,0.073042855,0.6620689655172424,0.06585207612456614,35.220127,2.1348054,Adipocytes vs Rest,Adipocytes,Rest
AC007923.4,0.989,0.01100000000000001,4.498798159845069,0.0006337014,3.8777493e-05,0.4551725,0.009731838,0.2413793103448278,0.008650519031141876,6.1772766,0.38391915,Adipocytes vs Rest,Adipocytes,Rest
LIPE,0.9886,0.011399999999999966,4.462675578395129,0.004099511,0.00018230021,2.11724,0.04725319,0.6482758620689665,0.04222534602076106,36.75232,1.8107976,Adipocytes vs Rest,Adipocytes,Rest
PFKFB3,0.9886,0.011399999999999966,4.462675578395129,0.004015255,0.00039651585,2.2413778,0.11110632,0.6275862068965526,0.08169333910034392,37.952286,4.000139,Adipocytes vs Rest,Adipocytes,Rest
TRHDE,0.9884,0.011600000000000055,4.445081524050899,0.0021871985,9.668445e-05,1.1517241,0.024005158,0.4551724137931041,0.018220155709342715,18.124432,1.0645387,Adipocytes vs Rest,Adipocytes,Rest
LINC01348,0.9878,0.012199999999999989,4.394043486819026,0.00047244717,1.3916181e-05,0.22758621,0.0034602091,0.12413793103448276,0.0028654844290657423,3.2173085,0.14725839,Adipocytes vs Rest,Adipocytes,Rest
LBP,0.9868,0.01319999999999999,4.314249807621173,0.00063852256,8.732392e-06,0.62068975,0.0034061428,0.1103448275862069,0.0022707612456747393,8.2615595,0.08384506,Adipocytes vs Rest,Adipocytes,Rest
LINC02240,0.9866,0.013399999999999967,4.2990092457102165,0.00595603,0.00013489506,2.4206886,0.040873498,0.586206896551725,0.03600778546712815,54.60724,1.4991758,Adipocytes vs Rest,Adipocytes,Rest
LINC01194,0.9862,0.013800000000000034,4.269189867129377,0.000500193,9.408083e-06,0.26206902,0.0023788929,0.10344827586206896,0.0023788927335640126,4.8633814,0.10767238,Adipocytes vs Rest,Adipocytes,Rest
MGST1,0.9842,0.015800000000000036,4.131818565648299,0.015290384,0.0009322791,7.3241363,0.2091258,0.8896551724137945,0.09256055363321536,130.16087,8.808773,Adipocytes vs Rest,Adipocytes,Rest
LINC02456,0.9822,0.017800000000000038,4.010595944690734,0.0029299692,0.00015708135,2.0689647,0.04936186,0.4413793103448282,0.027519463667820366,25.173775,2.1449523,Adipocytes vs Rest,Adipocytes,Rest
ME1,0.982,0.018000000000000016,3.9992190050861978,0.013677473,0.00041543087,8.434481,0.13170527,0.6413793103448285,0.09483131487888999,135.5365,4.2130427,Adipocytes vs Rest,Adipocytes,Rest
CD96,0.9814,0.01859999999999995,3.965818015491911,0.00268548,0.0001911815,1.37931,0.028816992,0.40689655172413847,0.019571799307958652,24.318792,2.0378428,Adipocytes vs Rest,Adipocytes,Rest
APBB1IP,0.9814,0.01859999999999995,3.965818015491911,0.004550163,0.00029067427,2.744826,0.059526052,0.6482758620689665,0.042766003460207404,45.83739,3.0291274,Adipocytes vs Rest,Adipocytes,Rest
GRK3,0.9812,0.01880000000000004,3.9549189208252784,0.0055218074,0.00038387897,3.2068956,0.09423722,0.6413793103448285,0.07185337370242052,56.697315,4.113313,Adipocytes vs Rest,Adipocytes,Rest
TMEM132C,0.981,0.019000000000000017,3.9441329642769505,0.005809322,0.00032022173,3.1310325,0.06877149,0.7517241379310357,0.041035899653979115,52.925526,3.2845461,Adipocytes vs Rest,Adipocytes,Rest
TBL1Y,0.981,0.019000000000000017,3.9441329642769505,0.00044693772,1.362559e-05,0.20689657,0.0018382347,0.11724137931034483,0.0017841695501730095,3.7387657,0.117566936,Adipocytes vs Rest,Adipocytes,Rest
IGF1,0.9808,0.019199999999999995,3.9334577755107722,0.0056678327,0.00022510071,3.3379288,0.072394006,0.6206896551724147,0.03303416955017328,46.462383,2.7627008,Adipocytes vs Rest,Adipocytes,Rest
G0S2,0.9806,0.019399999999999973,3.9228910578819054,0.015119297,0.0004370159,6.7034435,0.21745121,0.7310344827586218,0.09683174740484145,136.70395,4.969695,Adipocytes vs Rest,Adipocytes,Rest
PPARG,0.98,0.020000000000000018,3.8918198083148323,0.010712402,0.001038831,7.5310326,0.21518046,0.8413793103448289,0.1491673875432534,123.40415,11.908384,Adipocytes vs Rest,Adipocytes,Rest
HILPDA,0.9798,0.020199999999999996,3.8816653799540974,0.0009771949,0.00010706598,0.5172415,0.041846704,0.24827586206896574,0.031033737024221804,10.083276,1.1667322,Adipocytes vs Rest,Adipocytes,Rest
CABLES1,0.9792,0.02080000000000004,3.8517824544940904,0.002516054,0.00015889628,1.2620682,0.026978752,0.462068965517242,0.022707612456747628,19.550095,1.683566,Adipocytes vs Rest,Adipocytes,Rest
KCNE1,0.979,0.02100000000000002,3.842008738831228,0.0021524327,8.934184e-05,1.034483,0.029033264,0.38620689655172463,0.019571799307958652,18.913628,0.951681,Adipocytes vs Rest,Adipocytes,Rest
BCL2,0.9784,0.021599999999999953,3.813224816940758,0.0062788636,0.0008473595,3.282757,0.1879324,0.7517241379310357,0.1189987024221414,54.91467,9.187396,Adipocytes vs Rest,Adipocytes,Rest
TPRG1,0.9776,0.022399999999999975,3.7760391933569983,0.0055289017,0.0005640558,2.3103433,0.109321706,0.6482758620689665,0.07374567474048271,44.87754,5.265218,Adipocytes vs Rest,Adipocytes,Rest
AC131009.2,0.976,0.02400000000000002,3.705408349644468,0.00024572047,2.9081548e-06,0.08275862,0.0006487889,0.041379310344827586,0.0006487889273356401,1.972578,0.03694237,Adipocytes vs Rest,Adipocytes,Rest
MAMLD1,0.976,0.02400000000000002,3.705408349644468,0.0009895524,8.2070765e-05,0.6137932,0.02022058,0.23448275862068985,0.016922577854671415,8.200376,0.99506634,Adipocytes vs Rest,Adipocytes,Rest
GHR,0.9758,0.0242,3.6969046112440425,0.010340764,0.0011260635,8.13793,0.2877347,0.827586206896553,0.18668901384083905,128.45207,12.570331,Adipocytes vs Rest,Adipocytes,Rest
FOXO1,0.9734,0.026599999999999957,3.599883515945192,0.011709316,0.0016850953,8.089653,0.38942707,0.8137931034482772,0.22875216262977513,124.61147,17.306143,Adipocytes vs Rest,Adipocytes,Rest
ACACB,0.9716,0.02839999999999998,3.532554710140545,0.029358106,0.0025493212,24.04138,0.8080416,0.8896551724137945,0.31833910034602164,340.1407,25.79408,Adipocytes vs Rest,Adipocytes,Rest
ACVR1C,0.9714,0.02859999999999996,3.525331272729971,0.0012109535,6.719355e-05,0.8275864,0.015300641,0.3310344827586211,0.014705882352941277,14.553641,0.75664973,Adipocytes vs Rest,Adipocytes,Rest
GLYCTK,0.971,0.029000000000000026,3.5110303037759842,0.00057937653,3.6798832e-05,0.22758624,0.009515573,0.14482758620689656,0.009407439446366801,5.4877186,0.37299535,Adipocytes vs Rest,Adipocytes,Rest
GSE1,0.9676,0.032399999999999984,3.3966600576305104,0.0052329195,0.00076833955,3.586204,0.23383291,0.7172413793103459,0.15857482698962214,57.76689,8.749914,Adipocytes vs Rest,Adipocytes,Rest
LINC01484,0.9676,0.032399999999999984,3.3966600576305104,0.00022893853,1.7108207e-05,0.1448276,0.0037305388,0.06206896551724138,0.003514273356401382,1.5565559,0.19112284,Adipocytes vs Rest,Adipocytes,Rest
MOCOS,0.9674,0.03259999999999996,3.390299475604788,0.00034385675,4.5011326e-05,0.2965518,0.008055791,0.1655172413793104,0.00756920415224913,3.848184,0.423925,Adipocytes vs Rest,Adipocytes,Rest
MEST,0.967,0.03300000000000003,3.377690641297818,0.0020876722,0.0001422643,1.0275863,0.021950662,0.40689655172413847,0.018598615916955177,23.991358,1.5761582,Adipocytes vs Rest,Adipocytes,Rest
AKR1C2,0.966,0.03400000000000003,3.3468030258307184,0.0021464205,8.753865e-05,0.7448277,0.022761662,0.31034482758620724,0.016435986159169677,18.16659,0.8740436,Adipocytes vs Rest,Adipocytes,Rest
LINC01632,0.9646,0.03539999999999999,3.305001415376299,0.00016125051,7.4654745e-06,0.075862065,0.0018923004,0.034482758620689655,0.0018923010380622828,3.204268,0.0880517,Adipocytes vs Rest,Adipocytes,Rest
MMP19,0.964,0.03600000000000003,3.2875720887501396,0.0010285755,0.000106921434,0.4551725,0.031195886,0.22068965517241396,0.017841695501730252,9.570497,0.86776936,Adipocytes vs Rest,Adipocytes,Rest
INSIG1,0.9614,0.03859999999999997,3.2151380303232497,0.0028848636,0.00018936649,1.5310342,0.0829371,0.35862068965517285,0.04622621107266398,28.333185,1.6828514,Adipocytes vs Rest,Adipocytes,Rest
GPC6,0.9614,0.03859999999999997,3.2151380303232497,0.004517619,0.0005974085,2.8965504,0.1828498,0.5586206896551732,0.079909169550171,41.339867,6.6130004,Adipocytes vs Rest,Adipocytes,Rest
SLC22A3,0.9612,0.038799999999999946,3.209762009904824,0.0016940649,0.00015732134,0.834483,0.023031985,0.3655172413793108,0.017517301038062427,14.516549,1.5323726,Adipocytes vs Rest,Adipocytes,Rest
PCOLCE2,0.9608,0.03920000000000001,3.199089279275342,0.0027189988,0.0004557681,1.7586197,0.15549344,0.6344827586206906,0.09034385813148536,30.22715,5.2964664,Adipocytes vs Rest,Adipocytes,Rest
AC010737.1,0.9594,0.04059999999999997,3.16253978657807,0.00042487573,3.7337042e-05,0.17931038,0.0067041493,0.09655172413793103,0.005190311418685118,2.6485426,0.34089732,Adipocytes vs Rest,Adipocytes,Rest
SAT1,0.9592,0.04079999999999995,3.157417287630535,0.018277416,0.0041799727,9.855174,1.5713738,0.8896551724137945,0.4311202422144993,156.07065,38.075493,Adipocytes vs Rest,Adipocytes,Rest
ELOVL6,0.959,0.041000000000000036,3.152318774704249,0.008353548,0.00015798814,4.013792,0.028384453,0.37241379310344874,0.02395112456747429,67.612015,1.5504066,Adipocytes vs Rest,Adipocytes,Rest
ELOVL5,0.9584,0.04159999999999997,3.1371648301434383,0.004258906,0.0006999731,2.7931023,0.17549755,0.6344827586206906,0.13873269896193635,45.326145,8.248922,Adipocytes vs Rest,Adipocytes,Rest
SNTG2,0.958,0.04200000000000004,3.127177932030695,0.0016926387,0.00028679715,0.9172415,0.05384928,0.3655172413793108,0.035034602076124736,12.515845,2.7048318,Adipocytes vs Rest,Adipocytes,Rest
FGF13,0.9578,0.042200000000000015,3.122218540340339,0.0017225022,0.00020072465,1.0551724,0.056768805,0.3034482758620693,0.03335856401384108,14.646203,2.6906068,Adipocytes vs Rest,Adipocytes,Rest
ANGPTL4,0.9522,0.047799999999999954,2.9917492585600054,0.005861608,0.00041978926,2.9034464,0.113106586,0.6413793103448285,0.0756379757785449,59.171974,4.191483,Adipocytes vs Rest,Adipocytes,Rest
TENM4,0.9512,0.048799999999999955,2.969993838112496,0.0030634005,0.00029990572,1.4758614,0.06417573,0.5241379310344835,0.05130839100345958,25.604576,2.8699398,Adipocytes vs Rest,Adipocytes,Rest
TWIST2,0.9504,0.04959999999999998,2.9528919237865017,0.0010672851,0.00011242484,0.81379324,0.028222276,0.3310344827586211,0.019031141868512277,13.134398,1.140651,Adipocytes vs Rest,Adipocytes,Rest
SLC24A3,0.9504,0.04959999999999998,2.9528919237865017,0.0024125793,0.00051013415,1.1517239,0.08607299,0.48275862068965586,0.058174740484428104,17.645348,6.303028,Adipocytes vs Rest,Adipocytes,Rest
NET1,0.9488,0.05120000000000002,2.9194583114251467,0.0008007886,0.00018974624,0.5517243,0.058715094,0.32413793103448313,0.04163062283737009,8.418685,1.6240698,Adipocytes vs Rest,Adipocytes,Rest
LRP1B,0.9484,0.05159999999999998,2.911254498449377,0.0025817596,0.00036403933,1.7862062,0.09169614,0.42068965517241436,0.057904411764704934,23.604044,4.0476146,Adipocytes vs Rest,Adipocytes,Rest
ADAMTS2,0.9468,0.053200000000000025,2.879029303884215,0.001969417,0.00030527054,1.0551727,0.060499236,0.4551724137931041,0.04233347750865033,18.645329,2.7206814,Adipocytes vs Rest,Adipocytes,Rest
GLUL,0.9434,0.056599999999999984,2.813481219562552,0.0032911096,0.00069626694,2.5241365,0.34552866,0.5724137931034491,0.17073961937716792,34.90889,8.047565,Adipocytes vs Rest,Adipocytes,Rest
PRUNE2,0.9424,0.057599999999999985,2.794907082195586,0.0017922239,0.0002640228,1.6275859,0.066122115,0.38620689655172463,0.046550605536331786,23.107103,3.3479464,Adipocytes vs Rest,Adipocytes,Rest
ADH1B,0.942,0.05800000000000005,2.7875621022318757,0.0072357208,0.00097243796,3.510343,0.2306978,0.7655172413793115,0.0885056228373678,68.55376,9.8338375,Adipocytes vs Rest,Adipocytes,Rest
AC018616.1,0.9414,0.058599999999999985,2.776633272358103,0.0017135689,0.0002151036,1.0551724,0.02222101,0.37241379310344874,0.01789576124567489,15.291688,2.1925654,Adipocytes vs Rest,Adipocytes,Rest
NTM,0.9402,0.059799999999999964,2.755086801045413,0.0019011694,0.00055124745,0.8482761,0.1138094,0.337931034482759,0.0629325259515559,15.492193,5.9040365,Adipocytes vs Rest,Adipocytes,Rest
FP671120.1,0.9382,0.061799999999999966,2.7200596302771367,0.008427438,0.0005275678,6.2965503,0.102834076,0.5241379310344835,0.07796280276816417,97.166885,5.10111,Adipocytes vs Rest,Adipocytes,Rest
PCA3,0.9362,0.06379999999999997,2.6860757924569056,0.00041241397,6.499489e-05,0.32413796,0.020004326,0.13103448275862067,0.014976211072664464,4.700184,0.7863317,Adipocytes vs Rest,Adipocytes,Rest
KLHL11,0.9348,0.06520000000000004,2.662872991055349,0.00014185386,3.0075402e-05,0.11724138,0.00956964,0.04827586206896552,0.009028979238754339,1.4437973,0.3864884,Adipocytes vs Rest,Adipocytes,Rest
PLA2G7,0.9334,0.06659999999999999,2.6401291165327536,2.4365492e-05,6.8348854e-06,0.0068965517,0.0036224062,0.006896551724137931,0.0025410899653979225,0.1174881,0.057592236,Adipocytes vs Rest,Adipocytes,Rest
FADS1,0.9318,0.06820000000000004,2.6146734986376408,0.0017009169,0.00022171736,0.57241386,0.04757757,0.2413793103448278,0.04233347750865033,8.8128,1.8532203,Adipocytes vs Rest,Adipocytes,Rest
LPL,0.9316,0.06840000000000002,2.611530577917082,0.0098359445,0.0020339275,5.668963,0.60827947,0.8000000000000013,0.26178633217994896,88.823814,18.956154,Adipocytes vs Rest,Adipocytes,Rest
LINC00278,0.928,0.07199999999999995,2.556365485657129,0.0016303574,0.00015399068,1.048276,0.021247841,0.2758620689655175,0.014597750865052002,17.443962,1.3999285,Adipocytes vs Rest,Adipocytes,Rest
AGBL4,0.9274,0.0726,2.5474199231684067,0.0040664705,0.00070047437,2.475861,0.25994688,0.6275862068965526,0.11591695501729726,37.92837,7.5212,Adipocytes vs Rest,Adipocytes,Rest
CHI3L2,0.9254,0.0746,2.518085446021074,0.00018125761,3.2974745e-05,0.12413794,0.010380625,0.07586206896551724,0.008217993079584776,1.351821,0.36746815,Adipocytes vs Rest,Adipocytes,Rest
ADAMTSL1,0.9244,0.0756,2.503688473757443,0.0012423065,0.00033421355,0.6758622,0.064608306,0.26896551724137957,0.046009948096885446,9.256807,2.998158,Adipocytes vs Rest,Adipocytes,Rest
SMOC1,0.921,0.07899999999999996,2.456012068063779,0.000110190784,5.8082544e-05,0.08275862,0.013300186,0.05517241379310345,0.008380190311418689,1.1022148,0.6504644,Adipocytes vs Rest,Adipocytes,Rest
LDLRAD3,0.9198,0.08020000000000005,2.439632626417011,0.003139989,0.00062719104,2.1310332,0.095480636,0.6206896551724147,0.06655493079584639,30.57862,7.521742,Adipocytes vs Rest,Adipocytes,Rest
PTX3,0.9188,0.08120000000000005,2.42615311137837,0.00043854595,9.281257e-05,0.25517243,0.026654406,0.10344827586206896,0.010218425605536364,3.3475592,0.72555983,Adipocytes vs Rest,Adipocytes,Rest
UVRAG,0.9172,0.08279999999999998,2.404897379722344,0.0038495534,0.0012893539,2.255171,0.27167633,0.6068965517241388,0.2097750865052037,36.28228,13.957332,Adipocytes vs Rest,Adipocytes,Rest
ACSL4,0.9156,0.08440000000000003,2.3840120789148944,0.002025897,0.00053278595,1.6206892,0.15998046,0.3931034482758626,0.11024005190311069,29.882452,5.8336883,Adipocytes vs Rest,Adipocytes,Rest
PLIN2,0.9146,0.08540000000000003,2.37114060426716,0.0018504126,0.00053666637,0.972414,0.20225933,0.3655172413793108,0.11483564013840458,16.04422,5.9992585,Adipocytes vs Rest,Adipocytes,Rest
MS4A1,0.9136,0.08640000000000003,2.358405058296711,2.8309974e-05,9.078702e-05,0.027586207,0.0035142738,0.006896551724137931,0.0017841695501730095,0.2519288,0.28281966,Adipocytes vs Rest,Adipocytes,Rest
MAFB,0.913,0.08699999999999997,2.3508276579507656,0.00048290018,0.00020956843,0.26896557,0.08353159,0.19310344827586218,0.04206314878892716,3.980595,2.0652654,Adipocytes vs Rest,Adipocytes,Rest
FGF10,0.911,0.08899999999999997,2.325906426145223,0.00035464606,7.784665e-05,0.18620692,0.014381505,0.0896551724137931,0.010867214532872014,2.8715577,0.673267,Adipocytes vs Rest,Adipocytes,Rest
CES1,0.906,0.09399999999999997,2.26574442842753,0.00035560125,7.759313e-05,0.15862072,0.02216693,0.12413793103448276,0.017409169550173152,4.089981,0.7908401,Adipocytes vs Rest,Adipocytes,Rest
DAPK1,0.9046,0.09540000000000004,2.2494141848223137,0.0006137697,0.00022694314,0.23448282,0.048118286,0.19310344827586218,0.035413062283737175,3.9355145,2.4172974,Adipocytes vs Rest,Adipocytes,Rest
AKAP12,0.9044,0.09560000000000002,2.2470988268010084,0.0044682478,0.00088951085,2.9241364,0.30087337,0.6275862068965526,0.1210532006920375,43.56073,9.914955,Adipocytes vs Rest,Adipocytes,Rest
DIRC3,0.9024,0.09760000000000002,2.224180295947297,0.0013409387,0.00046212558,0.9448279,0.11910788,0.3931034482758626,0.07288062283736857,19.4416,5.0518703,Adipocytes vs Rest,Adipocytes,Rest
ENPP2,0.9018,0.09819999999999995,2.217386459882509,0.00047921448,0.00010662567,0.33103454,0.040386993,0.20000000000000012,0.02681660899654008,5.388803,1.1291356,Adipocytes vs Rest,Adipocytes,Rest
